fuel,YSI HOV VP-1,T70,Density,pmi,y,y_ub,y_lb
Base,1604.5835584188346,119.16666666666669,0.7374,1.0721429621400684,1.4747630091074988,1.5507489160854209,1.3925249108705269
xylene,2157.3659874903633,131.5,0.76816602515946,1.3661519825740833,2.382320061012899,2.448415541205585,2.3115448343655176
E25,910.6293099905129,75.55555555555556,0.7529533239816945,0.7942715687362657,1.2499017362143359,1.297463147413275,1.1999647829283973
E50,554.1006579346011,77.33333333333333,0.7651292551732674,0.576739742730888,0.598836501088704,0.720275847948198,0.46058440732924394
iBu16,1319.0223466417565,103.33333333333334,0.7478314964072197,0.9214268022147993,1.9416152247724325,1.9572739077056285,1.9257074417377937
DMF,1358.9974726371408,109.61111111111113,0.7680123000000001,1.0061735464940005,1.9329696377795786,1.9523181453506435,1.9132393667657646
anisole,1950.1473313454064,139.61111111111111,0.8011525098978489,1.6080411596420616,2.6188546222977394,2.6803363625346943,2.553343811341229
methylanisole,2750.7970480584418,156.72222222222226,0.783357755037602,1.9905958581430405,2.9036169846461855,2.9494265206774797,2.8556077654598244
p-cymene,4684.77361333252,152.0,0.7650276,2.1913418432111564,2.4309783077624445,2.4815677485224854,2.377692565480851
Xylenol,6712.3774630756225,132.88888888888889,0.7723258000000001,3.1242674201226346,2.2126603854660587,2.275727638824163,2.1453463165675544
phenylethanol,13773.145700479441,159.05555555555554,0.8004725032402946,6.02565397284052,3.1578511230304263,3.1788868166518376,3.1363634032937364
